# Angular Correlation W(0) for distance_7.5
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.00693 ± 9.79218e-07
0.000000          0.062684    0.000485    0.055140    0.000457
0.007893          0.061248    0.000480    0.055220    0.000457
0.015787          0.063444    0.000488    0.054860    0.000455
0.023680          0.062336    0.000484    0.055532    0.000458
0.031574          0.062176    0.000483    0.055008    0.000456
0.039467          0.061716    0.000481    0.054840    0.000455
0.047361          0.062868    0.000485    0.055676    0.000459
0.055254          0.061816    0.000482    0.055236    0.000457
0.063148          0.062352    0.000484    0.055140    0.000457
0.071041          0.062728    0.000485    0.055268    0.000457
0.078934          0.062512    0.000484    0.054816    0.000455
0.086828          0.061948    0.000482    0.055520    0.000458
0.094721          0.062092    0.000483    0.056180    0.000461
0.102615          0.061452    0.000480    0.055428    0.000458
0.110508          0.061640    0.000481    0.055036    0.000456
0.118402          0.062112    0.000483    0.055992    0.000460
0.126295          0.061552    0.000481    0.055328    0.000457
0.134189          0.063020    0.000486    0.055408    0.000458
0.142082          0.062632    0.000485    0.055712    0.000459
0.149976          0.064576    0.000492    0.056724    0.000463
0.157869          0.074748    0.000526    0.066228    0.000497
0.165762          0.086332    0.000562    0.076848    0.000533
0.173656          0.096328    0.000590    0.086212    0.000561
0.181549          0.106048    0.000616    0.094784    0.000586
0.189443          0.113856    0.000635    0.102528    0.000607
0.197336          0.120324    0.000651    0.107312    0.000619
0.205230          0.125032    0.000662    0.112564    0.000632
0.213123          0.125348    0.000662    0.113612    0.000635
0.221017          0.125740    0.000663    0.114092    0.000636
0.228910          0.125304    0.000662    0.113664    0.000635
0.236803          0.125384    0.000662    0.114336    0.000636
0.244697          0.125848    0.000663    0.112860    0.000633
0.252590          0.125580    0.000663    0.115264    0.000639
0.260484          0.126688    0.000665    0.114936    0.000638
0.268377          0.126292    0.000664    0.114700    0.000637
0.276271          0.125564    0.000663    0.115228    0.000639
0.284164          0.125344    0.000662    0.115172    0.000638
0.292058          0.125912    0.000664    0.113972    0.000636
0.299951          0.125940    0.000664    0.114432    0.000637
0.307845          0.125136    0.000662    0.115108    0.000638
0.315738          0.127972    0.000668    0.113936    0.000635
0.323631          0.126620    0.000665    0.114224    0.000636
0.331525          0.125044    0.000662    0.114472    0.000637
0.339418          0.126180    0.000664    0.114092    0.000636
0.347312          0.125504    0.000663    0.113556    0.000635
0.355205          0.126144    0.000664    0.114560    0.000637
0.363099          0.126628    0.000665    0.114200    0.000636
0.370992          0.126448    0.000665    0.113316    0.000634
0.378886          0.124884    0.000661    0.113344    0.000634
0.386779          0.125152    0.000662    0.112672    0.000632
0.394672          0.124440    0.000660    0.113596    0.000635
0.402566          0.124836    0.000661    0.113180    0.000634
0.410459          0.124280    0.000660    0.112564    0.000632
0.418353          0.124852    0.000661    0.113132    0.000634
0.426246          0.124128    0.000659    0.112012    0.000631
0.434140          0.123760    0.000659    0.111728    0.000630
0.442033          0.123528    0.000658    0.112748    0.000633
0.449927          0.124060    0.000659    0.112408    0.000632
0.457820          0.122780    0.000656    0.111120    0.000629
0.465713          0.122960    0.000657    0.112008    0.000631
0.473607          0.123588    0.000658    0.112372    0.000632
0.481500          0.122144    0.000655    0.111724    0.000630
0.489394          0.121376    0.000653    0.110788    0.000628
0.497287          0.122064    0.000655    0.110712    0.000628
0.505181          0.121152    0.000653    0.110144    0.000626
0.513074          0.121880    0.000654    0.109560    0.000625
0.520968          0.121188    0.000653    0.109300    0.000624
0.528861          0.121396    0.000653    0.110092    0.000626
0.536755          0.120116    0.000650    0.109132    0.000624
0.544648          0.120572    0.000651    0.109068    0.000623
0.552541          0.118864    0.000647    0.108044    0.000621
0.560435          0.119732    0.000649    0.107476    0.000619
0.568328          0.119788    0.000649    0.107668    0.000620
0.576222          0.119548    0.000649    0.108084    0.000621
0.584115          0.118104    0.000645    0.107948    0.000621
0.592009          0.119248    0.000648    0.107876    0.000620
0.599902          0.117240    0.000643    0.106876    0.000618
0.607796          0.117720    0.000645    0.107532    0.000620
0.615689          0.117656    0.000644    0.105428    0.000614
0.623582          0.116644    0.000642    0.104868    0.000613
0.631476          0.116648    0.000642    0.104492    0.000612
0.639369          0.116296    0.000641    0.104704    0.000612
0.647263          0.115244    0.000639    0.104792    0.000613
0.655156          0.116264    0.000641    0.103868    0.000610
0.663050          0.113828    0.000635    0.103960    0.000610
0.670943          0.112964    0.000633    0.104416    0.000612
0.678837          0.113932    0.000635    0.104436    0.000612
0.686730          0.112912    0.000633    0.101444    0.000604
0.694624          0.112880    0.000633    0.102684    0.000607
0.702517          0.111820    0.000630    0.101508    0.000604
0.710410          0.111616    0.000630    0.100760    0.000602
0.718304          0.110760    0.000628    0.100472    0.000601
0.726197          0.111764    0.000630    0.101072    0.000603
0.734091          0.111344    0.000629    0.099988    0.000600
0.741984          0.109496    0.000625    0.097936    0.000594
0.749878          0.109600    0.000625    0.098920    0.000597
0.757771          0.108076    0.000621    0.098820    0.000597
0.765665          0.109216    0.000624    0.097300    0.000593
0.773558          0.108228    0.000621    0.096928    0.000592
0.781451          0.107660    0.000620    0.097724    0.000594
0.789345          0.107184    0.000619    0.097064    0.000592
0.797238          0.106288    0.000616    0.095520    0.000588
0.805132          0.104800    0.000613    0.095976    0.000589
0.813025          0.104240    0.000611    0.094704    0.000586
0.820919          0.103256    0.000609    0.095096    0.000587
0.828812          0.102900    0.000608    0.093660    0.000583
0.836706          0.103108    0.000608    0.092788    0.000580
0.844599          0.102596    0.000607    0.092920    0.000581
0.852492          0.102284    0.000606    0.092476    0.000579
0.860386          0.100708    0.000602    0.091472    0.000577
0.868279          0.099468    0.000599    0.090444    0.000574
0.876173          0.099244    0.000598    0.088964    0.000569
0.884066          0.098452    0.000596    0.090072    0.000573
0.891960          0.097864    0.000594    0.088576    0.000568
0.899853          0.097244    0.000593    0.088060    0.000567
0.907747          0.096860    0.000592    0.087068    0.000564
0.915640          0.095068    0.000587    0.085592    0.000560
0.923534          0.093804    0.000583    0.085404    0.000559
0.931427          0.093684    0.000583    0.083916    0.000555
0.939320          0.092376    0.000579    0.083256    0.000553
0.947214          0.090748    0.000575    0.082024    0.000549
0.955107          0.089556    0.000571    0.081680    0.000548
0.963001          0.087904    0.000566    0.079484    0.000541
0.970894          0.086436    0.000562    0.078220    0.000537
0.978788          0.086264    0.000562    0.076764    0.000532
0.986681          0.084664    0.000557    0.076624    0.000532
0.994575          0.083580    0.000554    0.075248    0.000528
1.002468          0.082568    0.000550    0.073584    0.000522
1.010361          0.081460    0.000547    0.072768    0.000520
1.018255          0.078964    0.000539    0.070504    0.000512
1.026148          0.076864    0.000533    0.069740    0.000509
1.034042          0.076404    0.000531    0.068676    0.000506
1.041935          0.075452    0.000528    0.066900    0.000500
1.049829          0.072932    0.000520    0.065372    0.000494
1.057722          0.071292    0.000515    0.064520    0.000491
1.065616          0.070656    0.000512    0.063772    0.000489
1.073509          0.069104    0.000507    0.061836    0.000482
1.081402          0.068312    0.000505    0.060760    0.000478
1.089296          0.065480    0.000495    0.059264    0.000472
1.097189          0.065060    0.000493    0.056264    0.000461
1.105083          0.062732    0.000485    0.056032    0.000460
1.112976          0.061980    0.000482    0.055088    0.000456
1.120870          0.060880    0.000478    0.053624    0.000451
1.128763          0.059292    0.000472    0.052320    0.000445
1.136657          0.057680    0.000466    0.051192    0.000441
1.144550          0.056400    0.000461    0.049392    0.000433
1.152444          0.055420    0.000458    0.048240    0.000429
1.160337          0.053340    0.000449    0.046860    0.000423
1.168230          0.052024    0.000444    0.046376    0.000421
1.176124          0.050128    0.000436    0.044108    0.000411
1.184017          0.048576    0.000430    0.043756    0.000409
1.191911          0.047792    0.000427    0.041624    0.000399
1.199804          0.046072    0.000419    0.040524    0.000394
1.207698          0.044776    0.000414    0.039432    0.000389
1.215591          0.043360    0.000407    0.038444    0.000385
1.223485          0.042244    0.000402    0.036412    0.000375
1.231378          0.040468    0.000394    0.035352    0.000369
1.239271          0.038744    0.000386    0.034124    0.000363
1.247165          0.037716    0.000381    0.033156    0.000358
1.255058          0.036356    0.000374    0.031712    0.000350
1.262952          0.034776    0.000366    0.030304    0.000343
1.270845          0.033240    0.000359    0.029700    0.000340
1.278739          0.032376    0.000354    0.028156    0.000331
1.286632          0.030928    0.000346    0.026880    0.000323
1.294526          0.029580    0.000339    0.025532    0.000315
1.302419          0.028068    0.000330    0.024656    0.000310
1.310313          0.026956    0.000324    0.023392    0.000302
1.318206          0.025936    0.000318    0.022484    0.000297
1.326099          0.024696    0.000310    0.021240    0.000288
1.333993          0.022640    0.000298    0.020748    0.000285
1.341886          0.022080    0.000294    0.019312    0.000275
1.349780          0.020856    0.000286    0.018352    0.000268
1.357673          0.019508    0.000277    0.016940    0.000258
1.365567          0.018360    0.000268    0.015624    0.000248
1.373460          0.017392    0.000261    0.015084    0.000244
1.381354          0.016396    0.000254    0.013980    0.000235
1.389247          0.015636    0.000248    0.013436    0.000230
1.397140          0.014012    0.000235    0.012164    0.000219
1.405034          0.013624    0.000232    0.011328    0.000212
1.412927          0.012372    0.000221    0.010552    0.000204
1.420821          0.011164    0.000210    0.009564    0.000195
1.428714          0.010056    0.000200    0.009116    0.000190
1.436608          0.009380    0.000193    0.008024    0.000178
1.444501          0.008532    0.000184    0.007236    0.000170
1.452395          0.007388    0.000171    0.005976    0.000154
1.460288          0.006468    0.000160    0.005492    0.000148
1.468181          0.005836    0.000152    0.004764    0.000138
1.476075          0.005216    0.000144    0.004328    0.000131
1.483968          0.004504    0.000134    0.003528    0.000119
1.491862          0.003712    0.000122    0.002868    0.000107
1.499755          0.003044    0.000110    0.002560    0.000101
1.507649          0.002328    0.000096    0.001792    0.000085
1.515542          0.001588    0.000080    0.001348    0.000073
1.523436          0.001132    0.000067    0.000800    0.000057
1.531329          0.000660    0.000051    0.000452    0.000043
1.539223          0.000236    0.000031    0.000200    0.000028
1.547116          0.000032    0.000011    0.000036    0.000012
1.555009          0.000000    0.000000    0.000000    0.000000
1.562903          0.000000    0.000000    0.000000    0.000000
1.570796          0.000000    0.000000    0.000000    0.000000
