# Angular Correlation W(0) for distance_1.0
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01929 ± 0.000154733
0.978788          0.030000    0.017059    0.050000    0.021794
0.986681          0.010000    0.009950    0.020000    0.014000
0.994575          0.020000    0.014000    0.040000    0.019596
1.002468          0.000000    0.000000    0.070000    0.025515
1.010361          0.020000    0.014000    0.100000    0.030000
1.018255          0.020000    0.014000    0.050000    0.021794
1.026148          0.020000    0.014000    0.010000    0.009950
1.034042          0.010000    0.009950    0.030000    0.017059
1.041935          0.030000    0.017059    0.110000    0.031289
1.049829          0.000000    0.000000    0.040000    0.019596
1.057722          0.020000    0.014000    0.040000    0.019596
1.065616          0.000000    0.000000    0.030000    0.017059
1.073509          0.000000    0.000000    0.010000    0.009950
1.081402          0.010000    0.009950    0.050000    0.021794
1.089296          0.020000    0.014000    0.010000    0.009950
1.097189          0.010000    0.009950    0.030000    0.017059
1.105083          0.010000    0.009950    0.010000    0.009950
1.112976          0.010000    0.009950    0.010000    0.009950
1.120870          0.000000    0.000000    0.010000    0.009950
1.128763          0.010000    0.009950    0.030000    0.017059
1.136657          0.020000    0.014000    0.010000    0.009950
1.144550          0.000000    0.000000    0.010000    0.009950
1.152444          0.030000    0.017059    0.010000    0.009950
1.160337          0.020000    0.014000    0.030000    0.017059
1.168230          0.010000    0.009950    0.010000    0.009950
1.176124          0.000000    0.000000    0.050000    0.021794
1.184017          0.000000    0.000000    0.010000    0.009950
1.191911          0.000000    0.000000    0.040000    0.019596
1.199804          0.010000    0.009950    0.010000    0.009950
1.207698          0.010000    0.009950    0.020000    0.014000
1.215591          0.030000    0.017059    0.010000    0.009950
1.223485          0.010000    0.009950    0.020000    0.014000
1.231378          0.000000    0.000000    0.030000    0.017059
1.239271          0.010000    0.009950    0.020000    0.014000
1.247165          0.000000    0.000000    0.000000    0.000000
1.255058          0.000000    0.000000    0.000000    0.000000
1.262952          0.010000    0.009950    0.010000    0.009950
1.270845          0.000000    0.000000    0.000000    0.000000
1.278739          0.010000    0.009950    0.010000    0.009950
1.286632          0.010000    0.009950    0.030000    0.017059
1.294526          0.010000    0.009950    0.020000    0.014000
1.302419          0.000000    0.000000    0.000000    0.000000
1.310313          0.010000    0.009950    0.000000    0.000000
1.318206          0.010000    0.009950    0.020000    0.014000
1.326099          0.000000    0.000000    0.000000    0.000000
1.333993          0.000000    0.000000    0.000000    0.000000
1.341886          0.000000    0.000000    0.000000    0.000000
1.349780          0.000000    0.000000    0.000000    0.000000
1.357673          0.000000    0.000000    0.000000    0.000000
1.365567          0.000000    0.000000    0.000000    0.000000
1.373460          0.000000    0.000000    0.000000    0.000000
1.381354          0.000000    0.000000    0.000000    0.000000
1.389247          0.000000    0.000000    0.000000    0.000000
1.397140          0.000000    0.000000    0.000000    0.000000
