# Angular Correlation W(0) for distance_10.5
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.0556 ± 8.10827e-06
0.000000          0.103647    0.000787    0.091747    0.000745
0.007893          0.104033    0.000788    0.091887    0.000746
0.015787          0.102453    0.000783    0.092567    0.000748
0.023680          0.104113    0.000789    0.090767    0.000742
0.031574          0.103280    0.000786    0.090140    0.000739
0.039467          0.103600    0.000787    0.091907    0.000746
0.047361          0.102927    0.000785    0.091793    0.000746
0.055254          0.102420    0.000783    0.091373    0.000744
0.063148          0.103380    0.000786    0.091880    0.000746
0.071041          0.103660    0.000787    0.092247    0.000747
0.078934          0.103547    0.000787    0.092567    0.000748
0.086828          0.124440    0.000852    0.109780    0.000807
0.094721          0.166673    0.000962    0.148760    0.000919
0.102615          0.198707    0.001030    0.180107    0.000992
0.110508          0.209113    0.001050    0.185733    0.001004
0.118402          0.206640    0.001045    0.188807    0.001010
0.126295          0.209813    0.001051    0.191313    0.001016
0.134189          0.210067    0.001052    0.188907    0.001011
0.142082          0.209007    0.001050    0.189880    0.001013
0.149976          0.210753    0.001053    0.192133    0.001017
0.157869          0.210793    0.001053    0.189860    0.001013
0.165762          0.208640    0.001049    0.190493    0.001014
0.173656          0.210427    0.001052    0.189620    0.001012
0.181549          0.210533    0.001053    0.189973    0.001013
0.189443          0.207880    0.001048    0.189520    0.001012
0.197336          0.209373    0.001051    0.188873    0.001011
0.205230          0.210787    0.001053    0.188807    0.001010
0.213123          0.207993    0.001048    0.188780    0.001010
0.221017          0.206913    0.001046    0.189747    0.001012
0.228910          0.209633    0.001051    0.188700    0.001010
0.236803          0.206140    0.001044    0.186533    0.001006
0.244697          0.204507    0.001041    0.186073    0.001005
0.252590          0.204653    0.001042    0.186493    0.001006
0.260484          0.204073    0.001041    0.186320    0.001005
0.268377          0.203693    0.001040    0.183127    0.000999
0.276271          0.203733    0.001040    0.183060    0.000998
0.284164          0.200553    0.001034    0.182520    0.000997
0.292058          0.198627    0.001030    0.182767    0.000998
0.299951          0.198867    0.001031    0.180073    0.000992
0.307845          0.196720    0.001026    0.179027    0.000990
0.315738          0.195620    0.001024    0.180727    0.000994
0.323631          0.195753    0.001024    0.175493    0.000982
0.331525          0.194127    0.001021    0.175273    0.000982
0.339418          0.194567    0.001022    0.174627    0.000980
0.347312          0.192513    0.001018    0.172240    0.000975
0.355205          0.189460    0.001012    0.173467    0.000978
0.363099          0.188480    0.001010    0.171980    0.000974
0.370992          0.187667    0.001008    0.169653    0.000969
0.378886          0.186227    0.001005    0.168327    0.000966
0.386779          0.184280    0.001001    0.166193    0.000961
0.394672          0.183320    0.000999    0.164860    0.000958
0.402566          0.181280    0.000995    0.163053    0.000954
0.410459          0.178193    0.000988    0.162400    0.000952
0.418353          0.175707    0.000983    0.159693    0.000946
0.426246          0.174633    0.000980    0.158487    0.000943
0.434140          0.174220    0.000979    0.158807    0.000944
0.442033          0.171260    0.000973    0.154647    0.000934
0.449927          0.171387    0.000973    0.153407    0.000930
0.457820          0.166067    0.000961    0.151647    0.000926
0.465713          0.164393    0.000957    0.147927    0.000917
0.473607          0.162820    0.000953    0.145960    0.000912
0.481500          0.161133    0.000949    0.143980    0.000906
0.489394          0.157260    0.000940    0.142100    0.000902
0.497287          0.154420    0.000933    0.139927    0.000896
0.505181          0.153527    0.000931    0.137087    0.000888
0.513074          0.151673    0.000926    0.136867    0.000887
0.520968          0.146560    0.000913    0.131420    0.000872
