# Angular Correlation W(0) for distance_4.0
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01138 ± 1.14448e-06
0.000000          0.104340    0.000611    0.092316    0.000579
0.007893          0.104452    0.000612    0.092220    0.000579
0.015787          0.104440    0.000612    0.092084    0.000578
0.023680          0.104960    0.000613    0.092216    0.000579
0.031574          0.103448    0.000609    0.092432    0.000579
0.039467          0.103468    0.000609    0.092276    0.000579
0.047361          0.103244    0.000609    0.092792    0.000580
0.055254          0.104008    0.000611    0.091764    0.000577
0.063148          0.102596    0.000607    0.092856    0.000580
0.071041          0.104204    0.000611    0.092216    0.000579
0.078934          0.103300    0.000609    0.092208    0.000579
0.086828          0.103244    0.000609    0.092424    0.000579
0.094721          0.103552    0.000609    0.093676    0.000583
0.102615          0.103480    0.000609    0.092532    0.000580
0.110508          0.103580    0.000609    0.092964    0.000581
0.118402          0.106252    0.000616    0.094888    0.000586
0.126295          0.122316    0.000655    0.108624    0.000622
0.134189          0.139636    0.000693    0.124528    0.000660
0.142082          0.154536    0.000723    0.140552    0.000695
0.149976          0.166492    0.000745    0.151280    0.000717
0.157869          0.179264    0.000767    0.161956    0.000737
0.165762          0.189844    0.000784    0.171432    0.000754
0.173656          0.196788    0.000795    0.178984    0.000767
0.181549          0.205700    0.000808    0.186340    0.000779
0.189443          0.209604    0.000814    0.188216    0.000782
0.197336          0.209520    0.000814    0.190016    0.000785
0.205230          0.209416    0.000814    0.191732    0.000787
0.213123          0.210060    0.000815    0.189264    0.000783
0.221017          0.210784    0.000816    0.192360    0.000788
0.228910          0.210020    0.000815    0.191568    0.000787
0.236803          0.211052    0.000816    0.190080    0.000785
0.244697          0.210028    0.000815    0.190192    0.000785
0.252590          0.209452    0.000814    0.190900    0.000786
0.260484          0.211188    0.000816    0.191180    0.000786
0.268377          0.210448    0.000815    0.192216    0.000788
0.276271          0.211048    0.000816    0.191556    0.000787
0.284164          0.209684    0.000814    0.191948    0.000788
0.292058          0.209752    0.000814    0.189624    0.000784
0.299951          0.208696    0.000813    0.190676    0.000786
0.307845          0.209916    0.000814    0.190868    0.000786
0.315738          0.209356    0.000814    0.189744    0.000784
0.323631          0.209112    0.000813    0.190248    0.000785
0.331525          0.208144    0.000812    0.189744    0.000784
0.339418          0.207904    0.000812    0.189668    0.000784
0.347312          0.208644    0.000813    0.192064    0.000788
0.355205          0.208696    0.000813    0.189696    0.000784
0.363099          0.207460    0.000811    0.188624    0.000782
0.370992          0.206188    0.000809    0.188900    0.000783
0.378886          0.205708    0.000808    0.188488    0.000782
0.386779          0.208336    0.000812    0.186268    0.000779
0.394672          0.205560    0.000808    0.188992    0.000783
0.402566          0.205272    0.000808    0.186416    0.000779
0.410459          0.205640    0.000808    0.186600    0.000779
0.418353          0.204748    0.000807    0.188140    0.000782
0.426246          0.205204    0.000808    0.186456    0.000779
0.434140          0.203764    0.000806    0.184608    0.000776
0.442033          0.204188    0.000806    0.182160    0.000772
0.449927          0.203888    0.000806    0.184184    0.000775
0.457820          0.201772    0.000803    0.185516    0.000777
0.465713          0.201208    0.000802    0.182808    0.000773
0.473607          0.201496    0.000802    0.182704    0.000773
0.481500          0.200316    0.000800    0.182164    0.000772
0.489394          0.200544    0.000801    0.179924    0.000768
0.497287          0.199060    0.000799    0.181748    0.000771
0.505181          0.198036    0.000797    0.179888    0.000768
0.513074          0.198136    0.000797    0.180540    0.000769
0.520968          0.196572    0.000795    0.179116    0.000767
0.528861          0.196700    0.000795    0.179144    0.000767
0.536755          0.195588    0.000793    0.176944    0.000763
0.544648          0.194668    0.000792    0.175876    0.000761
0.552541          0.194112    0.000791    0.174904    0.000760
0.560435          0.193972    0.000791    0.174908    0.000760
0.568328          0.192944    0.000789    0.174240    0.000759
0.576222          0.193908    0.000791    0.173908    0.000758
0.584115          0.190592    0.000786    0.174112    0.000758
0.592009          0.191064    0.000786    0.174248    0.000759
0.599902          0.189052    0.000783    0.171816    0.000754
0.607796          0.187412    0.000780    0.170488    0.000752
0.615689          0.187996    0.000781    0.169900    0.000751
0.623582          0.186176    0.000778    0.167692    0.000747
0.631476          0.185868    0.000778    0.167612    0.000747
0.639369          0.184648    0.000776    0.167752    0.000747
0.647263          0.183204    0.000774    0.165620    0.000743
0.655156          0.181008    0.000770    0.164376    0.000741
0.663050          0.181840    0.000771    0.162764    0.000738
0.670943          0.179700    0.000768    0.161564    0.000736
0.678837          0.180232    0.000769    0.161864    0.000737
0.686730          0.177112    0.000764    0.160532    0.000734
0.694624          0.176648    0.000763    0.160296    0.000734
0.702517          0.175480    0.000761    0.157672    0.000729
0.710410          0.173988    0.000758    0.156640    0.000727
0.718304          0.172152    0.000755    0.156196    0.000726
0.726197          0.171308    0.000754    0.154132    0.000722
0.734091          0.168988    0.000749    0.151704    0.000717
0.741984          0.168232    0.000748    0.150836    0.000716
0.749878          0.164932    0.000742    0.148236    0.000711
0.757771          0.162988    0.000739    0.146804    0.000708
0.765665          0.160364    0.000734    0.144956    0.000704
0.773558          0.157348    0.000728    0.143000    0.000700
0.781451          0.156052    0.000726    0.139668    0.000693
0.789345          0.154440    0.000723    0.139248    0.000692
0.797238          0.151296    0.000717    0.137052    0.000688
0.805132          0.150184    0.000715    0.133864    0.000681
0.813025          0.148452    0.000711    0.133748    0.000681
0.820919          0.146128    0.000706    0.130768    0.000674
0.828812          0.142276    0.000699    0.128648    0.000670
0.836706          0.142764    0.000700    0.126916    0.000666
0.844599          0.139560    0.000693    0.125020    0.000661
0.852492          0.136760    0.000687    0.123944    0.000659
0.860386          0.134884    0.000683    0.120608    0.000651
0.868279          0.131876    0.000677    0.119448    0.000649
0.876173          0.130176    0.000673    0.116716    0.000642
0.884066          0.128444    0.000669    0.114832    0.000638
0.891960          0.125332    0.000662    0.113348    0.000634
0.899853          0.124156    0.000660    0.109532    0.000625
0.907747          0.120780    0.000652    0.108920    0.000623
0.915640          0.119236    0.000648    0.107356    0.000619
0.923534          0.116464    0.000642    0.104608    0.000612
0.931427          0.115012    0.000638    0.103088    0.000608
0.939320          0.111816    0.000630    0.099176    0.000598
0.947214          0.110352    0.000627    0.098140    0.000595
0.955107          0.107976    0.000621    0.096264    0.000590
0.963001          0.106624    0.000617    0.093740    0.000583
0.970894          0.102712    0.000607    0.091628    0.000577
0.978788          0.100808    0.000602    0.089856    0.000572
0.986681          0.100092    0.000600    0.088200    0.000567
0.994575          0.098064    0.000595    0.086576    0.000562
1.002468          0.093940    0.000583    0.082816    0.000551
1.010361          0.093128    0.000581    0.083060    0.000552
1.018255          0.091144    0.000576    0.080980    0.000546
1.026148          0.089588    0.000571    0.078908    0.000539
1.034042          0.086892    0.000563    0.076328    0.000531
1.041935          0.085016    0.000558    0.074620    0.000526
1.049829          0.082008    0.000549    0.073008    0.000520
1.057722          0.080440    0.000544    0.072404    0.000518
1.065616          0.078732    0.000539    0.068440    0.000505
1.073509          0.077348    0.000534    0.068096    0.000504
1.081402          0.074844    0.000526    0.065688    0.000495
1.089296          0.073072    0.000521    0.064084    0.000490
1.097189          0.070324    0.000511    0.062168    0.000483
1.105083          0.069112    0.000507    0.060216    0.000476
1.112976          0.067524    0.000502    0.058288    0.000469
1.120870          0.064680    0.000492    0.057140    0.000464
1.128763          0.063072    0.000486    0.056108    0.000460
1.136657          0.061572    0.000481    0.052800    0.000447
1.144550          0.060088    0.000475    0.052180    0.000445
1.152444          0.058004    0.000468    0.050604    0.000438
1.160337          0.056220    0.000461    0.048416    0.000429
1.168230          0.053804    0.000451    0.047644    0.000426
1.176124          0.051900    0.000444    0.045648    0.000417
1.184017          0.050356    0.000437    0.043844    0.000409
1.191911          0.048540    0.000430    0.043104    0.000406
1.199804          0.047696    0.000426    0.041360    0.000398
1.207698          0.046152    0.000420    0.039256    0.000388
1.215591          0.043236    0.000407    0.038460    0.000385
1.223485          0.043364    0.000407    0.036780    0.000376
1.231378          0.041064    0.000397    0.035764    0.000371
1.239271          0.039004    0.000387    0.033908    0.000362
1.247165          0.037344    0.000379    0.032332    0.000354
1.255058          0.035672    0.000371    0.031124    0.000347
1.262952          0.034012    0.000363    0.029996    0.000341
1.270845          0.032620    0.000355    0.028272    0.000331
1.278739          0.031216    0.000348    0.027096    0.000325
1.286632          0.030112    0.000342    0.026152    0.000319
1.294526          0.029308    0.000337    0.024552    0.000310
1.302419          0.027940    0.000330    0.023296    0.000302
1.310313          0.025984    0.000318    0.022328    0.000295
1.318206          0.024524    0.000309    0.021880    0.000293
