# Angular Correlation W(0) for distance_1.5
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01466 ± 1.96775e-06
0.978788          0.074740    0.000679    0.065020    0.000637
0.986681          0.073487    0.000674    0.063380    0.000629
0.994575          0.071580    0.000666    0.064540    0.000634
1.002468          0.070213    0.000660    0.062073    0.000623
1.010361          0.068427    0.000652    0.060080    0.000614
1.018255          0.066627    0.000644    0.058300    0.000605
1.026148          0.065980    0.000641    0.057113    0.000599
1.034042          0.064400    0.000634    0.056613    0.000597
1.041935          0.063160    0.000628    0.054967    0.000588
1.049829          0.061153    0.000619    0.053587    0.000581
1.057722          0.060267    0.000614    0.051527    0.000571
1.065616          0.058280    0.000605    0.051273    0.000569
1.073509          0.056787    0.000598    0.049800    0.000562
1.081402          0.054420    0.000586    0.048747    0.000556
1.089296          0.054140    0.000584    0.047573    0.000550
1.097189          0.052727    0.000577    0.046627    0.000544
1.105083          0.051413    0.000570    0.045027    0.000535
1.112976          0.050520    0.000565    0.043833    0.000529
1.120870          0.048000    0.000552    0.042300    0.000520
1.128763          0.048140    0.000553    0.041773    0.000517
1.136657          0.046780    0.000545    0.040840    0.000511
1.144550          0.044800    0.000534    0.039647    0.000504
1.152444          0.042893    0.000523    0.038520    0.000497
1.160337          0.042793    0.000523    0.035827    0.000480
1.168230          0.040040    0.000506    0.035367    0.000477
1.176124          0.038993    0.000500    0.033513    0.000465
1.184017          0.039173    0.000501    0.033293    0.000463
1.191911          0.037333    0.000489    0.031967    0.000454
1.199804          0.036520    0.000484    0.031933    0.000454
1.207698          0.035087    0.000475    0.030153    0.000442
1.215591          0.033787    0.000467    0.028693    0.000431
1.223485          0.031907    0.000454    0.028107    0.000427
1.231378          0.031847    0.000453    0.027427    0.000422
1.239271          0.030027    0.000441    0.026040    0.000411
1.247165          0.029447    0.000436    0.025187    0.000405
1.255058          0.028020    0.000426    0.024260    0.000397
1.262952          0.026200    0.000412    0.022453    0.000383
1.270845          0.025760    0.000409    0.021840    0.000377
1.278739          0.024873    0.000402    0.021333    0.000373
1.286632          0.023140    0.000388    0.020207    0.000363
1.294526          0.021980    0.000379    0.019040    0.000353
1.302419          0.021860    0.000378    0.017687    0.000340
1.310313          0.020413    0.000365    0.017680    0.000340
1.318206          0.019387    0.000356    0.016973    0.000334
1.326099          0.018493    0.000348    0.015820    0.000322
1.333993          0.017700    0.000340    0.014640    0.000310
1.341886          0.016773    0.000332    0.013967    0.000303
1.349780          0.015293    0.000317    0.012893    0.000291
1.357673          0.014053    0.000304    0.012847    0.000291
1.365567          0.013273    0.000295    0.011513    0.000275
1.373460          0.012280    0.000284    0.010853    0.000268
1.381354          0.011527    0.000276    0.009940    0.000256
1.389247          0.010953    0.000269    0.008973    0.000243
1.397140          0.010480    0.000263    0.008493    0.000237
1.405034          0.009273    0.000247    0.007727    0.000226
1.412927          0.008200    0.000233    0.007073    0.000216
1.420821          0.007607    0.000224    0.006627    0.000209
1.428714          0.006780    0.000212    0.005580    0.000192
1.436608          0.006167    0.000202    0.005220    0.000186
1.444501          0.005473    0.000190    0.004407    0.000171
1.452395          0.004747    0.000177    0.003813    0.000159
1.460288          0.004393    0.000171    0.003120    0.000144
1.468181          0.003433    0.000151    0.002500    0.000129
1.476075          0.002613    0.000132    0.002047    0.000117
1.483968          0.001933    0.000113    0.001627    0.000104
1.491862          0.001493    0.000100    0.001193    0.000089
1.499755          0.001020    0.000082    0.000547    0.000060
1.507649          0.000420    0.000053    0.000327    0.000047
1.515542          0.000067    0.000021    0.000040    0.000016
1.523436          0.000000    0.000000    0.000000    0.000000
1.531329          0.000000    0.000000    0.000000    0.000000
1.539223          0.000000    0.000000    0.000000    0.000000
1.547116          0.000000    0.000000    0.000000    0.000000
1.555009          0.000000    0.000000    0.000000    0.000000
1.562903          0.000000    0.000000    0.000000    0.000000
1.570796          0.000000    0.000000    0.000000    0.000000
