# Angular Correlation W(0) for distance_2.5
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01396 ± 1.58503e-06
0.000000          0.103555    0.000681    0.092330    0.000647
0.007893          0.102750    0.000679    0.093610    0.000651
0.015787          0.103510    0.000681    0.092105    0.000647
0.023680          0.103675    0.000682    0.092025    0.000646
0.031574          0.103950    0.000682    0.092770    0.000649
0.039467          0.103740    0.000682    0.092285    0.000647
0.047361          0.103990    0.000683    0.092775    0.000649
0.055254          0.104420    0.000684    0.092820    0.000649
0.063148          0.103405    0.000681    0.091550    0.000645
0.071041          0.102945    0.000680    0.092765    0.000649
0.078934          0.104085    0.000683    0.091135    0.000644
0.086828          0.103545    0.000681    0.093540    0.000651
0.094721          0.103270    0.000680    0.093265    0.000650
0.102615          0.110755    0.000702    0.099795    0.000670
0.110508          0.128550    0.000748    0.113780    0.000710
0.118402          0.144260    0.000786    0.129575    0.000751
0.126295          0.157370    0.000814    0.142280    0.000781
0.134189          0.168715    0.000837    0.153240    0.000805
0.142082          0.179625    0.000858    0.162875    0.000826
0.149976          0.188920    0.000875    0.170780    0.000841
0.157869          0.196290    0.000888    0.176010    0.000852
0.165762          0.201355    0.000897    0.184625    0.000868
0.173656          0.206210    0.000905    0.189915    0.000877
0.181549          0.209765    0.000910    0.189320    0.000876
0.189443          0.211440    0.000913    0.190520    0.000878
0.197336          0.210540    0.000912    0.189670    0.000877
0.205230          0.211010    0.000912    0.190125    0.000877
0.213123          0.209275    0.000910    0.190895    0.000879
0.221017          0.210550    0.000912    0.191720    0.000880
0.228910          0.210650    0.000912    0.192095    0.000881
0.236803          0.211315    0.000913    0.190280    0.000878
0.244697          0.210930    0.000912    0.190745    0.000879
0.252590          0.210480    0.000912    0.191410    0.000880
0.260484          0.211230    0.000913    0.190615    0.000878
0.268377          0.211275    0.000913    0.191505    0.000880
0.276271          0.209275    0.000910    0.189830    0.000877
0.284164          0.209775    0.000910    0.192175    0.000881
0.292058          0.210090    0.000911    0.190175    0.000878
0.299951          0.208560    0.000908    0.189055    0.000876
0.307845          0.209305    0.000910    0.188440    0.000874
0.315738          0.208145    0.000908    0.188770    0.000875
0.323631          0.208090    0.000908    0.188675    0.000875
0.331525          0.207375    0.000907    0.189675    0.000877
0.339418          0.208820    0.000909    0.189180    0.000876
0.347312          0.207420    0.000907    0.188815    0.000875
0.355205          0.207045    0.000906    0.190010    0.000877
0.363099          0.204675    0.000902    0.186015    0.000870
0.370992          0.207770    0.000907    0.186505    0.000871
0.378886          0.204960    0.000903    0.186300    0.000871
0.386779          0.204130    0.000901    0.184640    0.000868
0.394672          0.204285    0.000902    0.186180    0.000870
0.402566          0.204895    0.000903    0.184245    0.000867
0.410459          0.203430    0.000900    0.186110    0.000870
0.418353          0.202425    0.000898    0.183165    0.000865
0.426246          0.202765    0.000899    0.183405    0.000865
0.434140          0.201440    0.000897    0.181995    0.000863
0.442033          0.200280    0.000895    0.181930    0.000863
0.449927          0.199540    0.000894    0.181365    0.000862
0.457820          0.200805    0.000896    0.180390    0.000860
0.465713          0.196675    0.000889    0.179640    0.000858
0.473607          0.196445    0.000888    0.179575    0.000858
0.481500          0.197780    0.000891    0.176630    0.000853
0.489394          0.196020    0.000888    0.177180    0.000854
0.497287          0.193810    0.000884    0.176335    0.000852
0.505181          0.193860    0.000884    0.175915    0.000851
0.513074          0.192790    0.000882    0.175550    0.000851
0.520968          0.192100    0.000881    0.174840    0.000849
0.528861          0.189925    0.000877    0.174115    0.000848
0.536755          0.190470    0.000878    0.171420    0.000843
0.544648          0.189090    0.000876    0.172045    0.000844
0.552541          0.188990    0.000875    0.173330    0.000846
0.560435          0.185915    0.000870    0.168285    0.000837
0.568328          0.186275    0.000871    0.169415    0.000839
0.576222          0.185125    0.000868    0.168095    0.000836
0.584115          0.185855    0.000870    0.167105    0.000834
0.592009          0.183020    0.000865    0.163775    0.000828
0.599902          0.179970    0.000859    0.163515    0.000827
0.607796          0.178190    0.000856    0.161560    0.000823
0.615689          0.176125    0.000852    0.160715    0.000821
0.623582          0.177115    0.000854    0.158665    0.000817
0.631476          0.172535    0.000845    0.156650    0.000813
0.639369          0.170735    0.000841    0.155060    0.000809
0.647263          0.169865    0.000840    0.154410    0.000808
0.655156          0.166555    0.000833    0.150845    0.000800
0.663050          0.165045    0.000830    0.147645    0.000793
0.670943          0.163895    0.000828    0.147605    0.000793
0.678837          0.159840    0.000819    0.145010    0.000787
0.686730          0.157985    0.000816    0.142095    0.000781
0.694624          0.155510    0.000810    0.140090    0.000776
0.702517          0.155060    0.000809    0.138520    0.000772
0.710410          0.152640    0.000804    0.137295    0.000770
0.718304          0.149995    0.000798    0.134620    0.000763
0.726197          0.148285    0.000795    0.133265    0.000760
0.734091          0.145960    0.000789    0.130085    0.000752
0.741984          0.144315    0.000786    0.128745    0.000749
0.749878          0.141620    0.000780    0.126900    0.000744
0.757771          0.140420    0.000777    0.124315    0.000738
0.765665          0.137195    0.000769    0.122850    0.000734
0.773558          0.134250    0.000762    0.120770    0.000729
0.781451          0.132495    0.000758    0.118060    0.000722
0.789345          0.130345    0.000753    0.115430    0.000715
0.797238          0.128905    0.000749    0.114845    0.000713
0.805132          0.126150    0.000742    0.114745    0.000713
0.813025          0.125445    0.000741    0.110000    0.000700
0.820919          0.122070    0.000732    0.108505    0.000695
0.828812          0.117950    0.000721    0.106245    0.000689
0.836706          0.118120    0.000722    0.104640    0.000684
0.844599          0.114940    0.000713    0.102710    0.000679
0.852492          0.113390    0.000709    0.100775    0.000673
0.860386          0.111305    0.000703    0.098860    0.000667
0.868279          0.109635    0.000699    0.097655    0.000664
0.876173          0.107695    0.000693    0.095660    0.000658
0.884066          0.105435    0.000687    0.093035    0.000650
0.891960          0.104580    0.000684    0.091960    0.000646
0.899853          0.100495    0.000672    0.089825    0.000639
0.907747          0.100015    0.000671    0.087860    0.000633
0.915640          0.096575    0.000660    0.086500    0.000629
0.923534          0.095760    0.000658    0.084440    0.000622
0.931427          0.092680    0.000648    0.082940    0.000617
0.939320          0.091770    0.000646    0.080980    0.000610
0.947214          0.089280    0.000638    0.079845    0.000606
0.955107          0.088425    0.000635    0.077695    0.000599
0.963001          0.085005    0.000624    0.075775    0.000592
0.970894          0.083615    0.000619    0.073310    0.000583
