# Angular Correlation W(0) for distance_0.5
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01148 ± 1.62098e-06
0.000000          0.104407    0.000790    0.091447    0.000744
0.007893          0.103520    0.000787    0.091987    0.000746
0.015787          0.104173    0.000789    0.092613    0.000748
0.023680          0.104053    0.000788    0.091760    0.000745
0.031574          0.104413    0.000790    0.091900    0.000746
0.039467          0.103973    0.000788    0.091333    0.000744
0.047361          0.103360    0.000786    0.092080    0.000747
0.055254          0.103713    0.000787    0.092073    0.000747
0.063148          0.102740    0.000784    0.092453    0.000748
0.071041          0.105007    0.000792    0.092927    0.000750
0.078934          0.113067    0.000818    0.101727    0.000781
0.086828          0.129667    0.000867    0.115213    0.000824
0.094721          0.144327    0.000907    0.127207    0.000860
0.102615          0.155820    0.000936    0.138853    0.000893
0.110508          0.166980    0.000963    0.149067    0.000920
0.118402          0.174393    0.000980    0.156773    0.000939
0.126295          0.181473    0.000995    0.163373    0.000955
0.134189          0.190060    0.001013    0.169353    0.000968
0.142082          0.190573    0.001014    0.173787    0.000978
0.149976          0.197553    0.001028    0.179867    0.000992
0.157869          0.202707    0.001038    0.184053    0.001001
0.165762          0.205087    0.001043    0.186733    0.001006
0.173656          0.207873    0.001048    0.189600    0.001012
0.181549          0.211513    0.001054    0.191953    0.001017
0.189443          0.211707    0.001055    0.191333    0.001016
0.197336          0.212213    0.001056    0.192720    0.001018
0.205230          0.211153    0.001054    0.191580    0.001016
0.213123          0.211327    0.001054    0.190860    0.001015
0.221017          0.212147    0.001056    0.193613    0.001020
0.228910          0.212447    0.001056    0.190960    0.001015
0.236803          0.211813    0.001055    0.190560    0.001014
0.244697          0.209633    0.001051    0.191093    0.001015
0.252590          0.211713    0.001055    0.190593    0.001014
0.260484          0.211300    0.001054    0.191993    0.001017
0.268377          0.211193    0.001054    0.192793    0.001019
0.276271          0.211700    0.001055    0.191513    0.001016
0.284164          0.209960    0.001052    0.190060    0.001013
0.292058          0.209427    0.001051    0.190293    0.001014
0.299951          0.209447    0.001051    0.188400    0.001010
0.307845          0.207333    0.001047    0.187533    0.001008
0.315738          0.206807    0.001046    0.189087    0.001011
0.323631          0.206893    0.001046    0.186307    0.001005
0.331525          0.206927    0.001046    0.190613    0.001014
0.339418          0.205187    0.001043    0.188293    0.001009
0.347312          0.205087    0.001043    0.186820    0.001006
0.355205          0.205453    0.001043    0.187933    0.001009
0.363099          0.206380    0.001045    0.185960    0.001005
0.370992          0.203727    0.001040    0.184640    0.001002
0.378886          0.202033    0.001037    0.184060    0.001001
0.386779          0.203020    0.001039    0.185393    0.001003
0.394672          0.202580    0.001038    0.182913    0.000998
0.402566          0.201927    0.001037    0.181340    0.000995
0.410459          0.201280    0.001035    0.179860    0.000992
