# Angular Correlation W(0) for distance_3.0
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01301 ± 2.62244e-06
0.000000          0.029540    0.000437    0.093480    0.000752
0.007893          0.030227    0.000442    0.092347    0.000748
0.015787          0.028580    0.000430    0.091373    0.000744
0.023680          0.028780    0.000432    0.093560    0.000752
0.031574          0.029247    0.000435    0.092727    0.000749
0.039467          0.030007    0.000441    0.092240    0.000747
0.047361          0.028707    0.000431    0.091067    0.000743
0.055254          0.029340    0.000436    0.092007    0.000746
0.063148          0.029060    0.000434    0.091553    0.000745
0.071041          0.029407    0.000436    0.092273    0.000747
0.078934          0.029587    0.000438    0.092180    0.000747
0.086828          0.030087    0.000441    0.092740    0.000749
0.094721          0.029413    0.000436    0.092307    0.000747
0.102615          0.029667    0.000438    0.092913    0.000750
0.110508          0.032707    0.000459    0.102007    0.000781
0.118402          0.038860    0.000499    0.117447    0.000831
0.126295          0.043667    0.000528    0.131053    0.000871
0.134189          0.048067    0.000552    0.145167    0.000910
0.142082          0.050600    0.000566    0.156373    0.000938
0.149976          0.053307    0.000580    0.165127    0.000959
0.157869          0.057393    0.000601    0.172493    0.000975
0.165762          0.059113    0.000609    0.179227    0.000990
0.173656          0.059893    0.000613    0.185887    0.001004
0.181549          0.060027    0.000613    0.191007    0.001015
0.189443          0.060747    0.000617    0.191940    0.001017
0.197336          0.060713    0.000617    0.190600    0.001014
0.205230          0.060427    0.000615    0.190207    0.001013
0.213123          0.060667    0.000616    0.190487    0.001014
0.221017          0.059560    0.000611    0.191687    0.001016
0.228910          0.060200    0.000614    0.191207    0.001015
0.236803          0.060033    0.000613    0.189607    0.001012
0.244697          0.060033    0.000613    0.190780    0.001015
0.252590          0.060540    0.000616    0.191087    0.001015
0.260484          0.059353    0.000610    0.190327    0.001014
0.268377          0.060540    0.000616    0.190080    0.001013
0.276271          0.059733    0.000612    0.190220    0.001013
0.284164          0.060460    0.000615    0.190873    0.001015
0.292058          0.060813    0.000617    0.191760    0.001016
0.299951          0.060467    0.000615    0.191033    0.001015
0.307845          0.060400    0.000615    0.190787    0.001015
0.315738          0.060580    0.000616    0.188447    0.001010
0.323631          0.059193    0.000609    0.188580    0.001010
0.331525          0.060593    0.000616    0.187747    0.001008
0.339418          0.060033    0.000613    0.190653    0.001014
0.347312          0.059927    0.000613    0.187593    0.001008
0.355205          0.060087    0.000614    0.187620    0.001008
0.363099          0.059120    0.000609    0.188047    0.001009
0.370992          0.058760    0.000607    0.187427    0.001008
0.378886          0.059413    0.000610    0.187180    0.001007
0.386779          0.059127    0.000609    0.185260    0.001003
0.394672          0.058187    0.000604    0.187167    0.001007
0.402566          0.058553    0.000606    0.186887    0.001007
0.410459          0.059260    0.000610    0.185633    0.001004
0.418353          0.058560    0.000606    0.184340    0.001001
0.426246          0.058427    0.000606    0.183893    0.001000
0.434140          0.058000    0.000604    0.183687    0.001000
0.442033          0.057513    0.000601    0.182633    0.000998
0.449927          0.057407    0.000601    0.183147    0.000999
0.457820          0.057333    0.000600    0.180860    0.000994
0.465713          0.058300    0.000605    0.181073    0.000994
0.473607          0.056753    0.000597    0.180667    0.000993
0.481500          0.056660    0.000597    0.178660    0.000989
0.489394          0.056253    0.000595    0.178780    0.000989
0.497287          0.056067    0.000594    0.177733    0.000987
0.505181          0.055767    0.000592    0.176760    0.000985
0.513074          0.056220    0.000595    0.177407    0.000986
0.520968          0.056240    0.000595    0.177300    0.000986
0.528861          0.055440    0.000591    0.175440    0.000982
0.536755          0.054520    0.000586    0.174427    0.000980
0.544648          0.054193    0.000585    0.174160    0.000979
0.552541          0.056373    0.000596    0.170607    0.000971
0.560435          0.053727    0.000582    0.170860    0.000972
