# Angular Correlation W(0) for distance_3.5
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01214 ± 2.44142e-06
0.000000          0.029573    0.000437    0.093520    0.000752
0.007893          0.030167    0.000442    0.092327    0.000747
0.015787          0.028513    0.000430    0.091327    0.000744
0.023680          0.028847    0.000432    0.093507    0.000752
0.031574          0.029153    0.000434    0.092700    0.000749
0.039467          0.030100    0.000441    0.092220    0.000747
0.047361          0.028800    0.000432    0.091007    0.000743
0.055254          0.029287    0.000435    0.092020    0.000746
0.063148          0.028853    0.000432    0.091587    0.000745
0.071041          0.029313    0.000436    0.092247    0.000747
0.078934          0.029487    0.000437    0.092153    0.000747
0.086828          0.030033    0.000441    0.092753    0.000749
0.094721          0.029513    0.000437    0.092260    0.000747
0.102615          0.029467    0.000437    0.092887    0.000749
0.110508          0.029280    0.000435    0.092753    0.000749
0.118402          0.034213    0.000469    0.104293    0.000789
0.126295          0.040133    0.000507    0.120440    0.000840
0.134189          0.045780    0.000540    0.136020    0.000885
0.142082          0.047960    0.000552    0.148673    0.000919
0.149976          0.051147    0.000569    0.158867    0.000944
0.157869          0.055847    0.000593    0.167273    0.000964
0.165762          0.057793    0.000603    0.175053    0.000981
0.173656          0.059200    0.000609    0.182420    0.000997
0.181549          0.060000    0.000613    0.189507    0.001012
0.189443          0.060867    0.000617    0.191573    0.001016
0.197336          0.060373    0.000615    0.190293    0.001014
0.205230          0.060520    0.000616    0.189907    0.001013
0.213123          0.060313    0.000615    0.190120    0.001013
0.221017          0.059600    0.000611    0.191347    0.001016
0.228910          0.060320    0.000615    0.191073    0.001015
0.236803          0.060093    0.000614    0.189573    0.001012
0.244697          0.060120    0.000614    0.190573    0.001014
0.252590          0.060807    0.000617    0.190900    0.001015
0.260484          0.059400    0.000610    0.190393    0.001014
0.268377          0.060560    0.000616    0.190207    0.001013
0.276271          0.059687    0.000612    0.190293    0.001014
0.284164          0.060547    0.000616    0.190953    0.001015
0.292058          0.060773    0.000617    0.191787    0.001017
0.299951          0.060507    0.000616    0.191353    0.001016
0.307845          0.060367    0.000615    0.190993    0.001015
0.315738          0.060700    0.000617    0.188487    0.001010
0.323631          0.059120    0.000609    0.189047    0.001011
0.331525          0.060787    0.000617    0.188133    0.001009
0.339418          0.060127    0.000614    0.190913    0.001015
0.347312          0.059953    0.000613    0.188053    0.001009
0.355205          0.060140    0.000614    0.188100    0.001009
0.363099          0.059193    0.000609    0.188460    0.001010
0.370992          0.058980    0.000608    0.188020    0.001009
0.378886          0.059540    0.000611    0.187593    0.001008
0.386779          0.059293    0.000610    0.186020    0.001005
0.394672          0.058467    0.000606    0.187660    0.001008
0.402566          0.058907    0.000608    0.187553    0.001008
0.410459          0.059667    0.000612    0.186387    0.001005
0.418353          0.058973    0.000608    0.185047    0.001003
0.426246          0.058740    0.000607    0.184947    0.001002
0.434140          0.058253    0.000605    0.184820    0.001002
0.442033          0.057593    0.000602    0.183273    0.000999
0.449927          0.057827    0.000603    0.183933    0.001000
0.457820          0.057680    0.000602    0.181687    0.000996
0.465713          0.058600    0.000606    0.182300    0.000997
0.473607          0.056887    0.000598    0.181673    0.000996
0.481500          0.057000    0.000599    0.179480    0.000991
0.489394          0.056673    0.000597    0.179993    0.000992
0.497287          0.056420    0.000596    0.179047    0.000990
0.505181          0.056200    0.000595    0.178307    0.000988
0.513074          0.056647    0.000597    0.178780    0.000989
0.520968          0.056493    0.000596    0.178573    0.000989
0.528861          0.055667    0.000592    0.176860    0.000985
0.536755          0.054760    0.000587    0.176213    0.000984
0.544648          0.054833    0.000588    0.175947    0.000983
0.552541          0.056773    0.000597    0.172460    0.000975
0.560435          0.054180    0.000584    0.172767    0.000976
0.568328          0.055307    0.000590    0.172373    0.000975
0.576222          0.054287    0.000585    0.171220    0.000973
0.584115          0.054820    0.000588    0.170733    0.000972
0.592009          0.053493    0.000581    0.169533    0.000969
0.599902          0.053893    0.000583    0.168460    0.000966
0.607796          0.054533    0.000586    0.168873    0.000967
0.615689          0.051953    0.000573    0.165647    0.000960
0.623582          0.052980    0.000578    0.165587    0.000960
0.631476          0.054047    0.000584    0.166267    0.000961
0.639369          0.052180    0.000574    0.164373    0.000957
0.647263          0.051327    0.000570    0.164633    0.000958
0.655156          0.051093    0.000569    0.161607    0.000950
0.663050          0.051293    0.000570    0.159760    0.000946
0.670943          0.050393    0.000565    0.159080    0.000944
0.678837          0.050680    0.000566    0.158187    0.000942
0.686730          0.049947    0.000562    0.155480    0.000936
0.694624          0.050727    0.000567    0.155093    0.000935
0.702517          0.048773    0.000556    0.153260    0.000930
0.710410          0.049400    0.000560    0.151613    0.000926
0.718304          0.048247    0.000553    0.149193    0.000920
0.726197          0.047273    0.000548    0.147767    0.000916
0.734091          0.047427    0.000549    0.145833    0.000911
0.741984          0.045707    0.000539    0.144287    0.000907
0.749878          0.045773    0.000540    0.142147    0.000902
0.757771          0.045753    0.000540    0.138427    0.000892
0.765665          0.044860    0.000534    0.137493    0.000889
0.773558          0.044033    0.000530    0.135420    0.000883
0.781451          0.044040    0.000530    0.133147    0.000877
0.789345          0.042527    0.000521    0.130553    0.000870
0.797238          0.041440    0.000515    0.130173    0.000869
0.805132          0.041413    0.000514    0.124740    0.000853
0.813025          0.040647    0.000510    0.127013    0.000860
0.820919          0.040180    0.000507    0.122953    0.000848
0.828812          0.040047    0.000506    0.121727    0.000844
0.836706          0.038380    0.000496    0.120200    0.000840
0.844599          0.038500    0.000497    0.117200    0.000831
0.852492          0.037600    0.000491    0.114880    0.000823
0.860386          0.036893    0.000487    0.112733    0.000817
0.868279          0.036120    0.000482    0.110833    0.000811
0.876173          0.035953    0.000481    0.108247    0.000802
0.884066          0.035327    0.000477    0.109087    0.000805
0.891960          0.033333    0.000463    0.105560    0.000793
0.899853          0.033473    0.000464    0.103247    0.000786
0.907747          0.033060    0.000462    0.101907    0.000781
0.915640          0.032540    0.000458    0.098680    0.000770
0.923534          0.031167    0.000449    0.096320    0.000762
0.931427          0.030440    0.000444    0.095860    0.000760
0.939320          0.030287    0.000442    0.092593    0.000748
0.947214          0.029193    0.000435    0.092380    0.000748
0.955107          0.029120    0.000434    0.089120    0.000736
0.963001          0.029007    0.000433    0.088580    0.000734
0.970894          0.027367    0.000421    0.085153    0.000721
0.978788          0.027967    0.000426    0.085040    0.000720
0.986681          0.027527    0.000422    0.083427    0.000714
0.994575          0.026653    0.000416    0.081087    0.000705
1.002468          0.025793    0.000409    0.078307    0.000694
1.010361          0.025000    0.000403    0.078267    0.000693
1.018255          0.024967    0.000403    0.074580    0.000678
1.026148          0.024713    0.000401    0.071960    0.000667
1.034042          0.023940    0.000395    0.071173    0.000664
1.041935          0.022860    0.000386    0.069153    0.000655
1.049829          0.022480    0.000383    0.067333    0.000647
1.057722          0.021293    0.000373    0.066040    0.000641
1.065616          0.020980    0.000370    0.063193    0.000628
1.073509          0.020387    0.000365    0.062040    0.000623
1.081402          0.019707    0.000359    0.060053    0.000613
1.089296          0.019527    0.000357    0.059920    0.000613
1.097189          0.018253    0.000346    0.057360    0.000600
1.105083          0.018900    0.000352    0.055120    0.000589
1.112976          0.018100    0.000344    0.054473    0.000586
1.120870          0.017647    0.000340    0.053533    0.000581
1.128763          0.017473    0.000338    0.051113    0.000569
1.136657          0.016133    0.000325    0.050113    0.000563
1.144550          0.016367    0.000328    0.048040    0.000552
1.152444          0.015247    0.000316    0.047127    0.000547
1.160337          0.015180    0.000316    0.044587    0.000533
1.168230          0.014400    0.000308    0.044647    0.000533
1.176124          0.014120    0.000305    0.042560    0.000521
1.184017          0.013320    0.000296    0.041340    0.000514
1.191911          0.012740    0.000290    0.038927    0.000499
