# Angular Correlation W(0) for distance_2.0
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01455 ± 1.92762e-06
0.000000          0.103200    0.000785    0.092187    0.000747
0.007893          0.104533    0.000790    0.093560    0.000752
0.015787          0.104600    0.000790    0.091400    0.000744
0.023680          0.101793    0.000781    0.091400    0.000744
0.031574          0.105520    0.000793    0.091920    0.000746
0.039467          0.104313    0.000789    0.092920    0.000750
0.047361          0.104540    0.000790    0.092340    0.000747
0.055254          0.103767    0.000787    0.091680    0.000745
0.063148          0.101960    0.000781    0.090973    0.000743
0.071041          0.103627    0.000787    0.092873    0.000749
0.078934          0.102367    0.000783    0.090847    0.000742
0.086828          0.104187    0.000789    0.091940    0.000746
0.094721          0.109220    0.000805    0.097273    0.000765
0.102615          0.126293    0.000858    0.111900    0.000814
0.110508          0.141247    0.000899    0.128353    0.000864
0.118402          0.156373    0.000938    0.138727    0.000892
0.126295          0.167347    0.000964    0.150453    0.000923
0.134189          0.176313    0.000984    0.159227    0.000945
0.142082          0.184700    0.001002    0.168827    0.000967
0.149976          0.194073    0.001021    0.173780    0.000978
0.157869          0.200407    0.001034    0.180813    0.000994
0.165762          0.205773    0.001044    0.185180    0.001003
0.173656          0.207947    0.001048    0.190947    0.001015
0.181549          0.209927    0.001052    0.189893    0.001013
0.189443          0.210607    0.001053    0.190293    0.001014
0.197336          0.208527    0.001049    0.190480    0.001014
0.205230          0.208873    0.001050    0.192440    0.001018
0.213123          0.210900    0.001053    0.192800    0.001019
0.221017          0.209427    0.001051    0.192680    0.001018
0.228910          0.210107    0.001052    0.190167    0.001013
0.236803          0.210280    0.001052    0.191827    0.001017
0.244697          0.209927    0.001052    0.189653    0.001012
0.252590          0.212080    0.001055    0.192253    0.001017
0.260484          0.209227    0.001050    0.192207    0.001017
0.268377          0.208680    0.001049    0.189393    0.001012
0.276271          0.211427    0.001054    0.190100    0.001013
0.284164          0.209200    0.001050    0.191067    0.001015
0.292058          0.209993    0.001052    0.190627    0.001014
0.299951          0.208760    0.001049    0.190087    0.001013
0.307845          0.212267    0.001056    0.190540    0.001014
0.315738          0.209640    0.001051    0.187313    0.001007
0.323631          0.208133    0.001048    0.187067    0.001007
0.331525          0.208320    0.001049    0.187433    0.001008
0.339418          0.208200    0.001048    0.188160    0.001009
0.347312          0.207893    0.001048    0.187100    0.001007
0.355205          0.206807    0.001046    0.188407    0.001010
0.363099          0.204633    0.001042    0.184980    0.001003
0.370992          0.204633    0.001042    0.188027    0.001009
0.378886          0.204993    0.001042    0.185967    0.001005
0.386779          0.203920    0.001040    0.184360    0.001001
0.394672          0.203087    0.001039    0.184680    0.001002
0.402566          0.201913    0.001036    0.183167    0.000999
0.410459          0.200487    0.001034    0.182080    0.000996
0.418353          0.200207    0.001033    0.182027    0.000996
0.426246          0.199720    0.001032    0.181607    0.000995
0.434140          0.199973    0.001033    0.183367    0.000999
0.442033          0.199140    0.001031    0.180320    0.000993
0.449927          0.197387    0.001028    0.180960    0.000994
0.457820          0.198413    0.001030    0.179020    0.000990
0.465713          0.197807    0.001029    0.178620    0.000989
0.473607          0.194133    0.001021    0.178333    0.000988
0.481500          0.195747    0.001024    0.179533    0.000991
0.489394          0.191513    0.001016    0.176480    0.000984
0.497287          0.192720    0.001018    0.175707    0.000983
0.505181          0.192740    0.001018    0.172933    0.000976
0.513074          0.192127    0.001017    0.172047    0.000974
0.520968          0.188400    0.001010    0.170707    0.000971
0.528861          0.188580    0.001010    0.172333    0.000975
0.536755          0.188073    0.001009    0.167373    0.000964
0.544648          0.186373    0.001005    0.168513    0.000966
0.552541          0.184913    0.001002    0.165787    0.000960
0.560435          0.182073    0.000996    0.165113    0.000959
0.568328          0.182513    0.000997    0.164393    0.000957
0.576222          0.178500    0.000989    0.161453    0.000950
0.584115          0.178107    0.000988    0.161167    0.000949
0.592009          0.174700    0.000980    0.160620    0.000948
0.599902          0.172020    0.000974    0.156173    0.000937
0.607796          0.171727    0.000974    0.154773    0.000934
0.615689          0.170727    0.000972    0.154567    0.000933
0.623582          0.168167    0.000966    0.150360    0.000923
0.631476          0.165127    0.000959    0.149420    0.000920
0.639369          0.163980    0.000956    0.146773    0.000914
0.647263          0.159560    0.000946    0.144667    0.000908
0.655156          0.159287    0.000945    0.142987    0.000904
0.663050          0.155553    0.000936    0.141060    0.000899
0.670943          0.155033    0.000935    0.136927    0.000888
0.678837          0.152467    0.000928    0.136673    0.000887
0.686730          0.151233    0.000925    0.135293    0.000883
0.694624          0.148540    0.000918    0.132900    0.000876
0.702517          0.146393    0.000913    0.130853    0.000871
0.710410          0.143093    0.000904    0.129253    0.000866
0.718304          0.143033    0.000904    0.125673    0.000856
0.726197          0.141000    0.000899    0.126293    0.000858
0.734091          0.136393    0.000886    0.123247    0.000849
0.741984          0.136493    0.000886    0.121133    0.000842
0.749878          0.133893    0.000879    0.119660    0.000838
0.757771          0.129173    0.000866    0.118753    0.000835
0.765665          0.129740    0.000868    0.114660    0.000823
0.773558          0.127760    0.000862    0.113373    0.000819
0.781451          0.125267    0.000855    0.111907    0.000814
0.789345          0.121980    0.000845    0.109220    0.000805
0.797238          0.122340    0.000846    0.107880    0.000801
0.805132          0.119180    0.000837    0.104593    0.000790
0.813025          0.118047    0.000833    0.103300    0.000786
0.820919          0.114667    0.000823    0.103680    0.000787
0.828812          0.113000    0.000817    0.099993    0.000775
0.836706          0.111420    0.000812    0.098413    0.000769
0.844599          0.108393    0.000803    0.095527    0.000759
0.852492          0.106193    0.000795    0.095760    0.000760
0.860386          0.104513    0.000790    0.091807    0.000746
0.868279          0.102620    0.000784    0.092360    0.000748
0.876173          0.100567    0.000777    0.089187    0.000736
0.884066          0.099660    0.000773    0.087253    0.000729
0.891960          0.096120    0.000761    0.085907    0.000724
0.899853          0.095200    0.000758    0.084500    0.000718
0.907747          0.092673    0.000749    0.084433    0.000718
0.915640          0.092140    0.000747    0.081347    0.000706
0.923534          0.088627    0.000734    0.079533    0.000699
0.931427          0.089233    0.000736    0.078173    0.000693
0.939320          0.086233    0.000725    0.075920    0.000684
0.947214          0.084947    0.000720    0.074080    0.000676
0.955107          0.083493    0.000714    0.073167    0.000672
0.963001          0.080667    0.000703    0.072427    0.000669
0.970894          0.079540    0.000699    0.070560    0.000661
0.978788          0.077593    0.000691    0.067800    0.000649
0.986681          0.075640    0.000683    0.066740    0.000644
0.994575          0.073800    0.000675    0.064580    0.000635
1.002468          0.072120    0.000668    0.064207    0.000633
1.010361          0.070767    0.000662    0.062413    0.000625
1.018255          0.069007    0.000654    0.062180    0.000624
1.026148          0.067453    0.000648    0.059847    0.000612
1.034042          0.066613    0.000644    0.058627    0.000607
1.041935          0.063600    0.000630    0.055680    0.000592
1.049829          0.062833    0.000627    0.055227    0.000590
1.057722          0.061380    0.000620    0.054213    0.000585
1.065616          0.059827    0.000612    0.051413    0.000570
1.073509          0.058667    0.000607    0.051413    0.000570
1.081402          0.056467    0.000596    0.049647    0.000561
1.089296          0.055320    0.000590    0.048313    0.000554
1.097189          0.054060    0.000584    0.047740    0.000551
1.105083          0.052060    0.000574    0.045493    0.000538
1.112976          0.050180    0.000564    0.044427    0.000532
1.120870          0.050053    0.000563    0.044007    0.000530
1.128763          0.047100    0.000547    0.042593    0.000521
1.136657          0.045880    0.000540    0.040007    0.000506
1.144550          0.045040    0.000535    0.039307    0.000502
1.152444          0.043460    0.000526    0.038113    0.000494
1.160337          0.041740    0.000516    0.035720    0.000479
1.168230          0.040913    0.000511    0.035640    0.000479
1.176124          0.039320    0.000502    0.034880    0.000474
1.184017          0.037953    0.000493    0.032347    0.000457
1.191911          0.037080    0.000488    0.031420    0.000450
1.199804          0.035627    0.000479    0.031493    0.000451
1.207698          0.034160    0.000469    0.029040    0.000434
1.215591          0.033053    0.000462    0.029033    0.000434
1.223485          0.031893    0.000454    0.027160    0.000420
1.231378          0.031540    0.000451    0.027040    0.000419
1.239271          0.030273    0.000442    0.025367    0.000406
1.247165          0.027920    0.000425    0.024167    0.000397
1.255058          0.027140    0.000420    0.024360    0.000398
1.262952          0.025853    0.000410    0.022473    0.000383
1.270845          0.025073    0.000404    0.021560    0.000375
1.278739          0.024820    0.000402    0.020400    0.000365
1.286632          0.023293    0.000389    0.020167    0.000363
1.294526          0.021980    0.000379    0.018460    0.000348
