# Angular Correlation W(0) for distance_5.0
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.00977 ± 1.32313e-06
0.000000          0.062588    0.000484    0.054808    0.000455
0.007893          0.062744    0.000485    0.055352    0.000457
0.015787          0.062316    0.000483    0.055948    0.000460
0.023680          0.062012    0.000482    0.054412    0.000454
0.031574          0.062556    0.000484    0.055188    0.000457
0.039467          0.062564    0.000484    0.055708    0.000459
0.047361          0.062492    0.000484    0.056516    0.000462
0.055254          0.062668    0.000485    0.054204    0.000453
0.063148          0.062096    0.000483    0.055620    0.000458
0.071041          0.061876    0.000482    0.054816    0.000455
0.078934          0.062276    0.000483    0.055852    0.000459
0.086828          0.062760    0.000485    0.055424    0.000458
0.094721          0.062584    0.000484    0.054696    0.000455
0.102615          0.062972    0.000486    0.055696    0.000459
0.110508          0.062280    0.000483    0.055224    0.000457
0.118402          0.062336    0.000484    0.055340    0.000457
0.126295          0.062612    0.000485    0.055120    0.000456
0.134189          0.070200    0.000511    0.062652    0.000485
0.142082          0.080316    0.000544    0.071972    0.000517
0.149976          0.090772    0.000575    0.081484    0.000547
0.157869          0.099128    0.000598    0.089152    0.000570
0.165762          0.107620    0.000620    0.096164    0.000590
0.173656          0.113252    0.000634    0.101672    0.000604
0.181549          0.118024    0.000645    0.107496    0.000619
0.189443          0.123500    0.000658    0.111388    0.000629
0.197336          0.125136    0.000662    0.113824    0.000635
0.205230          0.125232    0.000662    0.114068    0.000636
0.213123          0.126708    0.000665    0.114260    0.000636
0.221017          0.125772    0.000663    0.114072    0.000636
0.228910          0.125436    0.000662    0.113328    0.000634
0.236803          0.125280    0.000662    0.114220    0.000636
0.244697          0.126052    0.000664    0.113500    0.000634
0.252590          0.124580    0.000660    0.115112    0.000638
0.260484          0.126768    0.000665    0.113980    0.000636
0.268377          0.125452    0.000662    0.116568    0.000642
0.276271          0.125780    0.000663    0.114052    0.000636
0.284164          0.126044    0.000664    0.114604    0.000637
0.292058          0.126356    0.000665    0.114788    0.000638
0.299951          0.126532    0.000665    0.112792    0.000633
0.307845          0.125864    0.000663    0.114420    0.000637
0.315738          0.125408    0.000662    0.113776    0.000635
0.323631          0.126016    0.000664    0.113440    0.000634
0.331525          0.125376    0.000662    0.114024    0.000636
0.339418          0.125404    0.000662    0.113268    0.000634
0.347312          0.126884    0.000666    0.114168    0.000636
0.355205          0.124604    0.000661    0.113236    0.000634
0.363099          0.123956    0.000659    0.114264    0.000636
0.370992          0.124832    0.000661    0.113948    0.000635
0.378886          0.124512    0.000660    0.113012    0.000633
0.386779          0.124224    0.000660    0.113156    0.000634
0.394672          0.124320    0.000660    0.112740    0.000633
0.402566          0.123564    0.000658    0.112176    0.000631
0.410459          0.123724    0.000659    0.111748    0.000630
0.418353          0.122120    0.000655    0.111576    0.000630
0.426246          0.124208    0.000660    0.111032    0.000628
0.434140          0.122572    0.000656    0.110380    0.000627
0.442033          0.121888    0.000654    0.111024    0.000628
0.449927          0.122480    0.000656    0.111340    0.000629
0.457820          0.122048    0.000655    0.110564    0.000627
0.465713          0.121376    0.000653    0.110000    0.000626
0.473607          0.121020    0.000652    0.110092    0.000626
0.481500          0.121000    0.000652    0.108812    0.000623
0.489394          0.120048    0.000650    0.109216    0.000624
0.497287          0.121196    0.000653    0.109296    0.000624
0.505181          0.120516    0.000651    0.109196    0.000624
0.513074          0.119752    0.000649    0.108112    0.000621
0.520968          0.119952    0.000650    0.107004    0.000618
0.528861          0.119808    0.000649    0.109248    0.000624
0.536755          0.119060    0.000648    0.108576    0.000622
0.544648          0.117500    0.000644    0.107620    0.000620
0.552541          0.117432    0.000644    0.107008    0.000618
0.560435          0.118152    0.000646    0.107120    0.000619
0.568328          0.115708    0.000640    0.106196    0.000616
0.576222          0.116748    0.000642    0.105484    0.000614
0.584115          0.116472    0.000642    0.106704    0.000617
0.592009          0.115560    0.000639    0.104192    0.000611
0.599902          0.114228    0.000636    0.104984    0.000613
0.607796          0.115524    0.000639    0.103736    0.000610
0.615689          0.113528    0.000634    0.103796    0.000610
0.623582          0.114300    0.000636    0.102748    0.000607
0.631476          0.113204    0.000634    0.103420    0.000609
0.639369          0.113216    0.000634    0.101928    0.000605
0.647263          0.112876    0.000633    0.101108    0.000603
0.655156          0.112556    0.000632    0.101944    0.000605
0.663050          0.111540    0.000630    0.101168    0.000603
0.670943          0.111300    0.000629    0.100280    0.000601
0.678837          0.110712    0.000628    0.099472    0.000599
0.686730          0.110284    0.000626    0.099156    0.000598
0.694624          0.107816    0.000620    0.099200    0.000598
0.702517          0.108012    0.000621    0.098328    0.000596
0.710410          0.107288    0.000619    0.097600    0.000594
0.718304          0.106576    0.000617    0.095100    0.000587
0.726197          0.107084    0.000618    0.097136    0.000592
0.734091          0.105300    0.000614    0.095640    0.000588
0.741984          0.105080    0.000613    0.095308    0.000587
0.749878          0.103520    0.000609    0.093208    0.000581
0.757771          0.104256    0.000611    0.093136    0.000581
0.765665          0.101296    0.000603    0.093072    0.000581
0.773558          0.101552    0.000604    0.092832    0.000580
0.781451          0.100480    0.000601    0.091392    0.000576
0.789345          0.100160    0.000600    0.089812    0.000572
0.797238          0.099940    0.000600    0.089764    0.000572
0.805132          0.097680    0.000594    0.087112    0.000564
0.813025          0.097160    0.000592    0.086972    0.000564
0.820919          0.095212    0.000587    0.085732    0.000560
0.828812          0.094972    0.000586    0.084004    0.000555
0.836706          0.094052    0.000584    0.083464    0.000553
0.844599          0.091520    0.000577    0.083952    0.000555
0.852492          0.090800    0.000575    0.081396    0.000547
0.860386          0.089956    0.000572    0.080808    0.000545
0.868279          0.087808    0.000566    0.078724    0.000539
0.876173          0.086224    0.000561    0.078588    0.000538
0.884066          0.085772    0.000560    0.076352    0.000531
0.891960          0.083728    0.000554    0.075084    0.000527
0.899853          0.082808    0.000551    0.073132    0.000521
0.907747          0.081680    0.000548    0.073432    0.000522
0.915640          0.079072    0.000540    0.071024    0.000514
0.923534          0.078956    0.000539    0.070460    0.000512
0.931427          0.077472    0.000535    0.069064    0.000507
0.939320          0.075196    0.000527    0.067724    0.000503
0.947214          0.074884    0.000526    0.067080    0.000500
0.955107          0.072596    0.000519    0.065680    0.000495
0.963001          0.072184    0.000518    0.063816    0.000489
0.970894          0.071404    0.000515    0.062532    0.000484
0.978788          0.070020    0.000510    0.061360    0.000480
0.986681          0.068176    0.000504    0.059692    0.000474
0.994575          0.066732    0.000499    0.059564    0.000473
1.002468          0.064900    0.000493    0.057624    0.000466
1.010361          0.063464    0.000488    0.056136    0.000460
1.018255          0.061816    0.000482    0.055364    0.000457
1.026148          0.061120    0.000479    0.053788    0.000451
1.034042          0.059524    0.000473    0.053224    0.000449
1.041935          0.057340    0.000465    0.051168    0.000441
1.049829          0.056748    0.000463    0.050560    0.000438
1.057722          0.055280    0.000457    0.049500    0.000434
1.065616          0.054556    0.000454    0.047352    0.000425
1.073509          0.053824    0.000451    0.046676    0.000422
1.081402          0.051924    0.000444    0.045224    0.000416
1.089296          0.050252    0.000437    0.045140    0.000415
1.097189          0.049828    0.000435    0.043436    0.000408
1.105083          0.048036    0.000428    0.042884    0.000405
1.112976          0.046996    0.000423    0.041416    0.000399
1.120870          0.045140    0.000415    0.040100    0.000392
1.128763          0.044028    0.000410    0.039220    0.000388
1.136657          0.042692    0.000404    0.037232    0.000379
1.144550          0.041720    0.000400    0.036008    0.000373
1.152444          0.039876    0.000391    0.035960    0.000372
1.160337          0.039440    0.000389    0.033728    0.000361
1.168230          0.038180    0.000383    0.033656    0.000361
1.176124          0.036960    0.000377    0.032480    0.000355
1.184017          0.035748    0.000371    0.030488    0.000344
1.191911          0.034452    0.000365    0.029984    0.000341
1.199804          0.033012    0.000357    0.028596    0.000333
1.207698          0.032136    0.000353    0.027620    0.000328
1.215591          0.030324    0.000343    0.027128    0.000325
1.223485          0.029968    0.000341    0.025804    0.000317
1.231378          0.028216    0.000331    0.025752    0.000317
1.239271          0.027728    0.000328    0.024076    0.000307
1.247165          0.026888    0.000324    0.023556    0.000303
1.255058          0.026240    0.000320    0.022096    0.000294
1.262952          0.024684    0.000310    0.021352    0.000289
1.270845          0.023360    0.000302    0.019880    0.000279
1.278739          0.022748    0.000298    0.019304    0.000275
1.286632          0.021624    0.000291    0.018684    0.000271
1.294526          0.020428    0.000283    0.017640    0.000263
1.302419          0.019504    0.000277    0.017084    0.000259
1.310313          0.018716    0.000271    0.015856    0.000250
1.318206          0.017628    0.000263    0.015372    0.000246
1.326099          0.017100    0.000259    0.014980    0.000243
1.333993          0.016288    0.000253    0.013708    0.000233
1.341886          0.014732    0.000241    0.012920    0.000226
1.349780          0.014676    0.000241    0.012044    0.000218
1.357673          0.013320    0.000229    0.011592    0.000214
1.365567          0.012156    0.000219    0.010496    0.000204
1.373460          0.011640    0.000215    0.009832    0.000197
1.381354          0.011448    0.000213    0.009356    0.000193
1.389247          0.010100    0.000200    0.008516    0.000184
1.397140          0.009348    0.000192    0.007868    0.000177
1.405034          0.008436    0.000183    0.007316    0.000170
1.412927          0.008128    0.000180    0.007060    0.000167
1.420821          0.007448    0.000172    0.006100    0.000156
1.428714          0.006548    0.000161    0.005484    0.000148
1.436608          0.006060    0.000155    0.005012    0.000141
1.444501          0.005220    0.000144    0.004196    0.000129
1.452395          0.004540    0.000134    0.004052    0.000127
1.460288          0.004376    0.000132    0.003392    0.000116
1.468181          0.003404    0.000116    0.003036    0.000110
1.476075          0.002972    0.000109    0.002500    0.000100
1.483968          0.002508    0.000100    0.002028    0.000090
1.491862          0.002172    0.000093    0.001592    0.000080
1.499755          0.001552    0.000079    0.001316    0.000073
